training_seed,id,family,description,op,joint_zero_based,joint_one_based,episode_count,kinematic_success_count,kinematic_success_rate,rotation_only_success_count,desired_revolutions_mean,desired_revolutions_sample_sd,direction_fraction_mean,direction_fraction_sample_sd,forward_body_lengths_mean,forward_body_lengths_sample_sd,mean_abs_k1,mean_abs_k2,mean_torque_boundary_saturation_fraction,wall_seconds
9201,BASELINE,global,Unmodified learned HPR outputs,baseline,,,20,20,1.0,20,2.26650603690148,0.42822079355620085,0.8507314915684349,0.04523811716106392,3.1285480230589835,0.34712656288342564,182.9697638185509,77.46567150280346,0.8935375000000001,25.89646050000738
9201,GLOBAL_K1_OFF,global,Disable learned K1 at all joints,global_k1_off,,,20,0,0.0,0,-0.0012336034791144235,0.013827573368037107,0.49604019645485337,0.025335978948925697,0.6002157744713517,0.12472234079730148,0.0,80.85823986841541,0.68006875,26.6923994999961
9201,GLOBAL_K2_OFF,global,Disable learned K2 at all joints,global_k2_off,,,20,15,0.75,17,1.562422911079162,0.5712386888193628,0.7351699662958553,0.07735568424231218,3.255250299998365,1.1549740006488927,183.8094501552172,0.0,0.9529937499999999,26.87599469999259
9201,GLOBAL_BOTH_OFF,global,Disable learned K1 and K2 at all joints,global_both_off,,,20,0,0.0,0,1.1653846816412248e-05,0.0002413858314663012,0.4330485560748718,0.3826304105308694,-1.1557594823073027e-05,0.00012028820748333001,0.0,0.0,0.0,26.505930700004683
9201,J01_BOTH_OFF,whole_joint_ablation,Disable both learned channels at J01,joint_both_off,0,1,20,0,0.0,0,-0.004074881583268527,0.00709898073078645,0.45175795741656016,0.02399546740897817,0.47976149010729874,0.06564390865492442,162.61988427482547,49.53162375703338,0.7304625,26.45713650000107
9201,J02_BOTH_OFF,whole_joint_ablation,Disable both learned channels at J02,joint_both_off,1,2,20,0,0.0,0,-0.0008596075745554985,0.006729969054468306,0.47431372692075663,0.034579907526277834,0.6601424071876275,0.07871439511718807,152.9954214669019,84.45258061595494,0.75485625,26.705994599993574
9201,J03_BOTH_OFF,whole_joint_ablation,Disable both learned channels at J03,joint_both_off,2,3,20,0,0.0,0,0.007243471667715109,0.010998770533196173,0.48263161675911864,0.015387398931589124,0.8861964503279065,0.11021677551172517,159.63708183439445,59.50975837558043,0.8070624999999998,26.494222499997704
9201,J04_BOTH_OFF,whole_joint_ablation,Disable both learned channels at J04,joint_both_off,3,4,20,15,0.75,16,1.5371901192417698,0.5679156224658128,0.7712414745841778,0.0770969393687408,3.3351678845032895,1.1143458207427157,147.04559442557397,70.96617560242419,0.8224750000000001,26.79505830000562
9201,J05_BOTH_OFF,whole_joint_ablation,Disable both learned channels at J05,joint_both_off,4,5,20,5,0.25,5,0.7842852082311594,0.38829299009451795,0.6623490771352282,0.06780690658602742,2.0863961912884212,0.6511711731006248,165.07288258070128,71.70870383288363,0.8129312499999999,26.68370629999845
9201,J06_BOTH_OFF,whole_joint_ablation,Disable both learned channels at J06,joint_both_off,5,6,20,12,0.6,14,1.2405637862099779,0.48213845275237954,0.742104881213207,0.07934388937666519,2.0816149245940925,0.602672744916901,152.86541165912521,68.32472119633866,0.75236875,26.453792400003294
9201,J07_BOTH_OFF,whole_joint_ablation,Disable both learned channels at J07,joint_both_off,6,7,20,17,0.85,17,1.775097298717015,0.6775191337722157,0.7997427943827125,0.09344613359896005,2.522069516136238,0.7910938083852103,162.77454038493337,71.2130678334029,0.7615125,26.734045899997
9201,J08_BOTH_OFF,whole_joint_ablation,Disable both learned channels at J08,joint_both_off,7,8,20,20,1.0,20,2.6991270834785093,0.25637055002615844,0.9165373410551834,0.018886945656067515,3.13241659197831,0.21828948711401422,170.8408723573386,68.56365548680304,0.7617375000000001,26.899327400009497
