training_seed,condition_id,condition_family,condition_description,joint_zero_based,joint_one_based,episode_index,reset_seed,success_kinematic,success_rotation_only_sensitivity,initial_body_length,forward_displacement,forward_body_lengths,net_best_fit_rotation_degrees,desired_net_rotation_degrees,desired_revolutions,desired_active_rotation_fraction,roll_pulse_count_diagnostic_only,contact_metric_source_diagnostic_only,mean_abs_k1,mean_abs_k2,mean_torque_boundary_saturation_fraction
9201,BASELINE,global,Unmodified learned HPR outputs,,,1,20264101,True,True,9.005046172532081,31.711888320371507,3.521568653040522,-905.4093132305571,905.4093132305571,2.515025870084881,0.895010395010395,0,legacy_position_height_proxy,183.65863339677452,76.61293040490709,0.8988750000000001
9201,BASELINE,global,Unmodified learned HPR outputs,,,2,20264102,True,True,8.992629925424678,27.616856837552042,3.0710545264930196,-674.680662948586,674.680662948586,1.8741129526349611,0.8174097664543525,0,legacy_position_height_proxy,183.99689145274462,76.67825066848891,0.8919999999999999
9201,BASELINE,global,Unmodified learned HPR outputs,,,3,20264103,True,True,9.012041613310572,30.51437975168228,3.38595637492544,-819.9949387670753,819.9949387670753,2.277763718797431,0.8361522198731501,0,legacy_position_height_proxy,183.3109838590026,78.9419781991397,0.888625
9201,BASELINE,global,Unmodified learned HPR outputs,,,4,20264104,True,True,9.00910680261109,34.578570482414214,3.8381796597629836,-942.7231996534287,942.7231996534287,2.6186755545928575,0.9009483667017913,0,legacy_position_height_proxy,184.38608461730183,73.9549400618882,0.893
9201,BASELINE,global,Unmodified learned HPR outputs,,,5,20264105,True,True,9.007152880067189,27.355895875766876,3.0371301830909765,-706.6620758038448,706.6620758038448,1.9629502105662355,0.8292422625400213,0,legacy_position_height_proxy,182.73293059654534,78.03505901739699,0.887875
9201,BASELINE,global,Unmodified learned HPR outputs,,,6,20264106,True,True,8.981119696057707,25.81732056513429,2.874621588271103,-625.9435875191396,625.9435875191396,1.7387321875531654,0.8021052631578948,0,legacy_position_height_proxy,183.18887194432318,78.3532304518274,0.9043749999999999
9201,BASELINE,global,Unmodified learned HPR outputs,,,7,20264107,True,True,9.006730384027463,30.18038159608841,3.3508698838826465,-1017.2757904089867,1017.2757904089867,2.8257660844694077,0.8760593220338984,0,legacy_position_height_proxy,183.242877817899,75.36542090087897,0.898625
9201,BASELINE,global,Unmodified learned HPR outputs,,,8,20264108,True,True,9.014610749081008,22.49623488956131,2.49553036905722,-682.483783077034,682.483783077034,1.8957882863250943,0.8240837696335078,0,legacy_position_height_proxy,182.81379321068525,80.50619961267803,0.891
9201,BASELINE,global,Unmodified learned HPR outputs,,,9,20264109,True,True,9.00152258142669,25.696168443746867,2.854646890156906,-814.2392491651182,814.2392491651182,2.2617756921253283,0.8673139158576052,0,legacy_position_height_proxy,182.48233613520858,78.34796362898778,0.880625
9201,BASELINE,global,Unmodified learned HPR outputs,,,10,20264110,True,True,9.010607389996418,28.603602695441808,3.1744366897172265,-803.8983281287775,803.8983281287775,2.2330509114688266,0.8580508474576272,0,legacy_position_height_proxy,181.9350401468575,78.4627651259303,0.889875
9201,BASELINE,global,Unmodified learned HPR outputs,,,11,20264111,True,True,8.988626425616648,27.536214266251775,3.0634507390112953,-700.2903733019001,700.2903733019001,1.9452510369497225,0.8029350104821803,0,legacy_position_height_proxy,182.58648241087795,75.6885882306029,0.90425
9201,BASELINE,global,Unmodified learned HPR outputs,,,12,20264112,True,True,8.995767124033947,22.692507071071304,2.5225760914201354,-421.6276566520195,421.6276566520195,1.1711879351444985,0.714902807775378,0,legacy_position_height_proxy,186.39132200144232,80.18982814829796,0.9113749999999999
9201,BASELINE,global,Unmodified learned HPR outputs,,,13,20264113,True,True,9.01181333849076,31.81162417214364,3.529991465343782,-982.0900638184715,982.0900638184715,2.72802795505131,0.8857442348008385,0,legacy_position_height_proxy,181.23973377197981,77.48867404948687,0.8908750000000001
9201,BASELINE,global,Unmodified learned HPR outputs,,,14,20264114,True,True,8.974434140090448,26.505240658333058,2.953416365264666,-912.9038281669392,912.9038281669392,2.5358439671303867,0.8542116630669546,0,legacy_position_height_proxy,181.58696508817374,77.15576283084228,0.89075
9201,BASELINE,global,Unmodified learned HPR outputs,,,15,20264115,True,True,9.009377445798682,30.539244928909465,3.3897175595801845,-919.287196594201,919.287196594201,2.5535755460950025,0.8759278897136797,0,legacy_position_height_proxy,183.18272609859707,75.04573191088858,0.882625
9201,BASELINE,global,Unmodified learned HPR outputs,,,16,20264116,True,True,9.0032829011452,29.704613227467057,3.299309102426259,-934.217979270194,934.217979270194,2.5950499424172055,0.8624338624338624,0,legacy_position_height_proxy,181.6616256669164,77.83129692263901,0.8961250000000001
9201,BASELINE,global,Unmodified learned HPR outputs,,,17,20264117,True,True,8.993974183629202,25.71428653150797,2.8590571872346504,-688.3160498933091,688.3160498933091,1.9119890274814142,0.8541001064962727,0,legacy_position_height_proxy,182.52217276990413,77.02539474146906,0.892625
9201,BASELINE,global,Unmodified learned HPR outputs,,,18,20264118,True,True,9.019045955195168,28.480997573398053,3.1578725416065074,-957.5526253484376,957.5526253484376,2.65986840374566,0.8487394957983193,0,legacy_position_height_proxy,183.08647219948472,79.15719032408668,0.8925
9201,BASELINE,global,Unmodified learned HPR outputs,,,19,20264119,True,True,9.000962424282566,24.842943936027588,2.7600319571390424,-808.8453817736711,808.8453817736711,2.2467927271490864,0.9034994697773064,0,legacy_position_height_proxy,183.51006323993204,76.45556650311919,0.893375
9201,BASELINE,global,Unmodified learned HPR outputs,,,20,20264120,True,True,8.99300899070223,30.85989375733771,3.4315426337551096,-1000.4013821689641,1000.4013821689641,2.7788927282471225,0.9057591623036649,0,legacy_position_height_proxy,181.87926994636655,78.01665832251311,0.891375
