training_seed,condition_id,condition_family,condition_description,joint_zero_based,joint_one_based,episode_index,reset_seed,success_kinematic,success_rotation_only_sensitivity,initial_body_length,forward_displacement,forward_body_lengths,net_best_fit_rotation_degrees,desired_net_rotation_degrees,desired_revolutions,desired_active_rotation_fraction,roll_pulse_count_diagnostic_only,contact_metric_source_diagnostic_only,mean_abs_k1,mean_abs_k2,mean_torque_boundary_saturation_fraction
9203,BASELINE,global,Unmodified learned HPR outputs,,,1,20264101,True,True,9.005046172532081,23.417710692808033,2.6005097857508632,-541.3278276366767,541.3278276366767,1.5036884101018797,0.8611111111111112,0,legacy_position_height_proxy,115.02934949737974,133.11693074628712,0.8603750000000001
9203,BASELINE,global,Unmodified learned HPR outputs,,,2,20264102,True,True,8.992629925424678,17.350054431241006,1.9293637762394238,-364.3558315485936,364.3558315485936,1.0120995320794266,0.7549234135667396,0,legacy_position_height_proxy,116.66598530085757,132.2340439982712,0.842625
9203,BASELINE,global,Unmodified learned HPR outputs,,,3,20264103,False,False,9.012041613310572,16.10088669061661,1.7865970200177483,-252.71976173786547,252.71976173786547,0.7019993381607375,0.6599777034559643,0,legacy_position_height_proxy,113.25274373758585,133.87332403063775,0.844875
9203,BASELINE,global,Unmodified learned HPR outputs,,,4,20264104,False,False,9.00910680261109,13.998430940788241,1.5538089676915703,6.389844926048393,-6.389844926048393,-0.017749569239023315,0.5495915985997666,0,legacy_position_height_proxy,111.59385011312551,133.55259235315026,0.8545
9203,BASELINE,global,Unmodified learned HPR outputs,,,5,20264105,True,True,9.007152880067189,22.19084613211453,2.46369151579772,-497.5220867013619,497.5220867013619,1.382005796392672,0.8270925110132159,0,legacy_position_height_proxy,115.27772847646847,133.0982740353793,0.85775
9203,BASELINE,global,Unmodified learned HPR outputs,,,6,20264106,False,False,8.981119696057707,16.43522732630372,1.8299753129354261,-250.847478963184,250.847478963184,0.696798552675511,0.6909492273730684,0,legacy_position_height_proxy,112.62093855980785,134.38897643890232,0.849625
9203,BASELINE,global,Unmodified learned HPR outputs,,,7,20264107,False,False,9.006730384027463,6.604366123676301,0.7332701038090897,-92.31919243394991,92.31919243394991,0.2564422012054164,0.6085526315789473,0,legacy_position_height_proxy,120.90867536556908,129.69260752350093,0.842125
9203,BASELINE,global,Unmodified learned HPR outputs,,,8,20264108,False,False,9.014610749081008,15.467893786961215,1.7158692945824738,-358.4468656472295,358.4468656472295,0.9956857379089709,0.7213290460878885,0,legacy_position_height_proxy,117.00315154329874,131.03137164805085,0.8465
9203,BASELINE,global,Unmodified learned HPR outputs,,,9,20264109,False,False,9.00152258142669,15.73760406691581,1.7483268996500692,-266.98834397695083,266.98834397695083,0.7416342888248634,0.6843267108167771,0,legacy_position_height_proxy,112.48539136885665,133.8357723809779,0.851125
9203,BASELINE,global,Unmodified learned HPR outputs,,,10,20264110,False,False,9.010607389996418,12.359315586066806,1.3716406731679516,-255.39754811692714,255.39754811692714,0.709437633658131,0.7415730337078652,0,legacy_position_height_proxy,113.70887667164207,132.285357603617,0.839
