training_seed,id,family,description,op,joint_zero_based,joint_one_based,episode_count,kinematic_success_count,kinematic_success_rate,rotation_only_success_count,desired_revolutions_mean,desired_revolutions_sample_sd,direction_fraction_mean,direction_fraction_sample_sd,forward_body_lengths_mean,forward_body_lengths_sample_sd,mean_abs_k1,mean_abs_k2,mean_torque_boundary_saturation_fraction,wall_seconds
9203,BASELINE,global,Unmodified learned HPR outputs,baseline,,,20,7,0.35,7,0.798859078830441,0.49945745722682533,0.7114704389647841,0.10273295031065313,1.7627158604359394,0.6302887880661734,114.38354879872175,133.02338780664837,0.8458937499999999,22.353214200004004
9203,GLOBAL_K1_OFF,global,Disable learned K1 at all joints,global_k1_off,,,20,0,0.0,0,-0.004851814694978576,0.0029137911858804167,0.4819005791336819,0.014851191310941493,0.4218125754698083,0.08314632703557073,0.0,130.49866535043344,0.766025,23.28406079999695
9203,GLOBAL_K2_OFF,global,Disable learned K2 at all joints,global_k2_off,,,20,0,0.0,0,0.3143755112133856,0.2925269011502174,0.5642695295623296,0.07067171850610005,0.567198649793121,0.4854330671436639,124.764053135484,0.0,0.9189937499999999,23.427008499988005
9203,GLOBAL_BOTH_OFF,global,Disable learned K1 and K2 at all joints,global_both_off,,,20,0,0.0,0,1.1653846816412248e-05,0.0002413858314663012,0.4330485560748718,0.3826304105308694,-1.1557594823073027e-05,0.00012028820748333001,0.0,0.0,0.0,23.16853579999588
9203,J01_BOTH_OFF,whole_joint_ablation,Disable both learned channels at J01,joint_both_off,0,1,20,0,0.0,0,-0.0034837977912972303,0.002476200743750067,0.47742103352190746,0.009358346999826234,0.5813388845069368,0.06022395274408555,89.81043956274632,117.27883991640992,0.66186875,22.81567549999454
9203,J02_BOTH_OFF,whole_joint_ablation,Disable both learned channels at J02,joint_both_off,1,2,20,0,0.0,0,0.0031725992028467224,0.002573109617899351,0.49765570024658823,0.012602850124522995,0.7799642481008852,0.0841180942862616,85.02347465207102,126.61286385946907,0.70094375,22.79952789998788
9203,J03_BOTH_OFF,whole_joint_ablation,Disable both learned channels at J03,joint_both_off,2,3,20,0,0.0,0,0.015676096414066733,0.005900111995380628,0.5344680976065067,0.036708771613660277,2.056705608238703,0.2912915344789142,94.30445662991143,132.41704464750367,0.78606875,22.92604740000388
9203,J04_BOTH_OFF,whole_joint_ablation,Disable both learned channels at J04,joint_both_off,3,4,20,0,0.0,0,0.021310549067555036,0.020477868107887078,0.5215746583838885,0.024100205062815776,1.2960867981177686,0.2406648893902416,107.45100174912719,107.78705502856523,0.7704375,22.6311551000108
9203,J05_BOTH_OFF,whole_joint_ablation,Disable both learned channels at J05,joint_both_off,4,5,20,0,0.0,0,-0.12696684684882906,0.030193389528916613,0.570854971187327,0.01391966943142255,0.3128608753363688,0.06701093759955723,90.04234389089046,106.1158259854652,0.6741375000000001,22.556047199992463
9203,J06_BOTH_OFF,whole_joint_ablation,Disable both learned channels at J06,joint_both_off,5,6,20,0,0.0,0,0.18343268471732846,0.06617947015616209,0.7391118836250972,0.06904574241011538,0.3159801762965336,0.13920051291013608,101.51691427623153,121.7343646351341,0.7416624999999999,22.87623340000573
