training_seed,condition_id,condition_family,joint_one_based,success_count,success_rate,success_rate_delta_vs_baseline,desired_revolutions_mean,desired_revolutions_delta_mean,desired_revolutions_delta_ci_low,desired_revolutions_delta_ci_high,forward_body_lengths_mean,forward_body_lengths_delta_mean,forward_body_lengths_delta_ci_low,forward_body_lengths_delta_ci_high,desired_active_rotation_fraction_mean,desired_active_rotation_fraction_delta_mean,desired_active_rotation_fraction_delta_ci_low,desired_active_rotation_fraction_delta_ci_high
9201,BASELINE,global,,20,1.0,0.0,2.26650603690148,0.0,0.0,0.0,3.1285480230589835,0.0,0.0,0.0,0.8507314915684349,0.0,0.0,0.0
9201,GLOBAL_K1_OFF,global,,0,0.0,-1.0,-0.0012336034791144267,-2.267739640380594,-2.446554094587394,-2.0800865094825154,0.6002157744713517,-2.528332248587632,-2.680492849528076,-2.370944809996246,0.49604019645485337,-0.3546912951135818,-0.37877596498946986,-0.32701597191122583
9201,GLOBAL_K2_OFF,global,,15,0.75,-0.25,1.562422911079162,-0.7040831258223175,-1.0464303715308028,-0.37024580922404554,3.255250299998365,0.1267022769393818,-0.4370757787948628,0.6391206666849988,0.7351699662958553,-0.11556152527257979,-0.1575911933864939,-0.0742577654276246
9201,GLOBAL_BOTH_OFF,global,,0,0.0,-1.0,1.1653846816431337e-05,-2.2664943830546633,-2.44484569898682,-2.0714361081171435,-1.155759482307676e-05,-3.128559580653807,-3.275734922882761,-2.9788557374051594,0.4330485560748718,-0.41768293549356317,-0.5745856729203699,-0.24777002601709955
9201,J01_BOTH_OFF,whole_joint_ablation,1.0,0,0.0,-1.0,-0.004074881583268515,-2.270580918484748,-2.445357546025913,-2.080087047455311,0.47976149010729874,-2.648786532951685,-2.802949595766378,-2.492665174937074,0.45175795741656016,-0.39897353415187486,-0.42092444846045635,-0.37609514582035336
9201,J02_BOTH_OFF,whole_joint_ablation,2.0,0,0.0,-1.0,-0.000859607574555495,-2.267365644476035,-2.448284126023337,-2.07929504978226,0.6601424071876275,-2.4684056158713563,-2.621221868360953,-2.32100298048114,0.47431372692075663,-0.3764177646476784,-0.40035725893631885,-0.35078752494253135
9201,J03_BOTH_OFF,whole_joint_ablation,3.0,0,0.0,-1.0,0.007243471667715075,-2.259262565233765,-2.4375237546387933,-2.0654850822766058,0.8861964503279065,-2.242351572731077,-2.398095104490315,-2.0867083393817842,0.48263161675911864,-0.3680998748093164,-0.38842208027362773,-0.3451058835844407
9201,J04_BOTH_OFF,whole_joint_ablation,4.0,15,0.75,-0.25,1.53719011924177,-0.7293159176597099,-1.0655675530740645,-0.3968330573044723,3.3351678845032895,0.20661986144430505,-0.360340446802467,0.7042147291107445,0.7712414745841778,-0.07949001698425723,-0.12043718333404667,-0.04000182500203078
9201,J05_BOTH_OFF,whole_joint_ablation,5.0,5,0.25,-0.75,0.7842852082311594,-1.4822208286703202,-1.6811688957558566,-1.2733648767254406,2.0863961912884217,-1.0421518317705623,-1.3211351648468634,-0.7772992942408348,0.6623490771352282,-0.18838241443320686,-0.22132948023316681,-0.15431558226015019
9201,J06_BOTH_OFF,whole_joint_ablation,6.0,12,0.6,-0.4,1.2405637862099779,-1.025942250691502,-1.31517838981825,-0.7162000075019139,2.0816149245940925,-1.046933098464892,-1.3713365402652837,-0.7047245727249095,0.742104881213207,-0.108626610355228,-0.1475353600387839,-0.06933817756814166
