condition_id,family,episode_count,training_seed_count,success_episodes,success_rate,successful_training_seeds_ge_10of20,success_episodes_by_training_seed,forward_body_lengths_mean,forward_body_lengths_std,desired_net_rotation_degrees_mean,desired_net_rotation_degrees_std,desired_active_rotation_fraction_mean,desired_active_rotation_fraction_std,roll_pulse_count_mean,roll_pulse_count_std,mean_roll_pulse_interval_steps_mean,mean_roll_pulse_interval_steps_std,tail_launch_count_mean,tail_launch_count_std,pulse_fail,rotation_fail,direction_fail,forward_fail,interval_fail
C11_J06_K2_SCALE_0P5,full_c11_channel_scale_0p5,100,5,100,1.0,5,"{""9201"":20,""9202"":20,""9203"":20,""9204"":20,""9205"":20}",3.663213589055586,0.5963273272459316,991.9267212911996,160.92865398418797,0.9431468871520328,0.03526681308868284,15.03,2.295452025201137,62.452558587654174,11.363144702045735,7.67,1.3860375175297384,0,0,0,0,0
C11_J06_K2_SCALE_1P5,full_c11_channel_scale_1p5,100,5,98,0.98,5,"{""9201"":19,""9202"":20,""9203"":19,""9204"":20,""9205"":20}",3.15343016778181,0.8496785535814374,902.2934966480544,249.8477739494703,0.9120708923618897,0.07318783316985361,13.67,3.5945931619586657,68.2184765602045,20.708147549308773,6.72,1.575309493401217,2,2,1,2,0
C11_J06_K2_SIGN_FLIP,full_c11_channel_sign_flip,100,5,86,0.86,5,"{""9201"":20,""9202"":14,""9203"":12,""9204"":20,""9205"":20}",2.736909347719891,0.6979643583842577,612.6730584063474,203.97383390372,0.8147839371727676,0.08148349797991468,9.49,3.1827503829235493,106.48759404484404,52.07096306903329,5.64,1.9365949499056325,2,12,10,0,3
C11_J06_K2_STATIC_MEAN,full_c11_channel_static_mean,100,5,98,0.98,5,"{""9201"":19,""9202"":20,""9203"":20,""9204"":19,""9205"":20}",3.3616288476910436,0.6429670165705632,942.2485732614144,202.014789869059,0.9269688005374163,0.05729448647224518,14.26,2.890051902648117,65.44289572420185,12.17814622535264,7.4,1.47648230602334,0,1,2,1,0
C11_J06_K2_TIME_PERMUTED,full_c11_channel_time_permuted,100,5,99,0.99,5,"{""9201"":19,""9202"":20,""9203"":20,""9204"":20,""9205"":20}",3.3516994104809896,0.7078796021294723,933.2111038830241,213.44018013939484,0.9241475256318772,0.055622213610027775,14.09,3.02024833416062,68.16289592042804,26.35335453898953,7.34,1.5698407562552326,0,1,1,1,1
C11_J07_K1_ZERO,full_c11_channel_zero,100,5,84,0.84,5,"{""9201"":20,""9202"":20,""9203"":18,""9204"":14,""9205"":12}",2.221145383943049,0.8752055608446717,628.4263067016805,270.4922540305327,0.8257322735385202,0.11695526790441196,9.4,3.6578682316343762,100.44024233867985,41.346927641029204,5.48,1.8410866356584092,5,14,14,6,6
C11_J07_K1_SCALE_0P5,full_c11_channel_scale_0p5,100,5,99,0.99,5,"{""9201"":20,""9202"":20,""9203"":20,""9204"":19,""9205"":20}",3.1461273781362022,0.6627624293620386,876.7244084448092,189.35940697931866,0.9256967530236807,0.04997974589897561,13.3,2.6248809496813372,70.71808227230287,17.2570946733588,7.01,1.5523852614605693,0,1,0,0,0
C11_J07_K1_SCALE_1P5,full_c11_channel_scale_1p5,100,5,100,1.0,5,"{""9201"":20,""9202"":20,""9203"":20,""9204"":20,""9205"":20}",3.5073489593539664,0.43011600677237993,983.4568942412935,149.09035682169653,0.939522131458548,0.031349758851370445,14.87,2.1893149613520664,63.18825498031381,10.415698865332997,7.48,1.5197368193210297,0,0,0,0,0
C11_J07_K1_SIGN_FLIP,full_c11_channel_sign_flip,100,5,32,0.32,2,"{""9201"":0,""9202"":12,""9203"":0,""9204"":20,""9205"":0}",1.3356675583152748,1.3063346336709007,320.4624298010815,368.1189466593653,0.6494540325499805,0.1889829588447394,4.98,5.5190216524308005,78.19537708668143,63.46556129706616,3.06,2.9455729493597675,64,68,67,64,56
C11_J07_K1_STATIC_MEAN,full_c11_channel_static_mean,100,5,97,0.97,5,"{""9201"":17,""9202"":20,""9203"":20,""9204"":20,""9205"":20}",3.412969318842534,0.6699661126763875,932.3222284910973,198.38053177051464,0.927719827986898,0.055358778115631925,14.13,2.8518590427999766,68.4574233707469,28.43003254578546,7.09,1.4219353009191382,0,2,2,0,1
