condition_id,family,training_seed,episode,evaluation_seed,success,steps,initial_body_length,forward_displacement,forward_body_lengths,net_best_fit_rotation_degrees,desired_net_rotation_degrees,desired_active_rotation_fraction,contact_material_index_span_fraction,contact_metric_source,roll_pulse_count,mean_roll_pulse_interval_steps,tail_launch_detected,tail_launch_count,pulse_fail,rotation_fail,direction_fail,forward_fail,interval_fail
C00_PAIR_SUFF_J01,c00_joint_pair_sufficiency,9201,1,20264401,1,1000,9.011372851382689,30.09747404375812,3.3399432628226027,-696.3539191850756,696.3539191850756,0.7917547568710359,0.8491220557027392,env_fast_forward_log_info,11,84.8,True,8,0,0,0,0,0
C00_PAIR_SUFF_J01,c00_joint_pair_sufficiency,9201,2,20264402,1,1000,8.997917468743399,30.65547747589881,3.406952506775992,-926.2841325370318,926.2841325370318,0.8711721224920802,0.7664774871534772,env_fast_forward_log_info,14,58.53846153846154,True,5,0,0,0,0,0
C00_PAIR_SUFF_J01,c00_joint_pair_sufficiency,9201,3,20264403,1,1000,8.999660283464847,25.308235949696975,2.812132364173347,-663.1776995258168,663.1776995258168,0.7516198704103672,0.958732878168424,env_fast_forward_log_info,10,92.11111111111111,True,6,0,0,0,0,0
C00_PAIR_SUFF_J01,c00_joint_pair_sufficiency,9201,4,20264404,1,1000,8.999566930822574,31.192278376058674,3.465975487023535,-820.0619921344727,820.0619921344727,0.8563772775991425,0.7649355460372236,env_fast_forward_log_info,12,64.9090909090909,True,7,0,0,0,0,0
C00_PAIR_SUFF_J01,c00_joint_pair_sufficiency,9201,5,20264405,1,1000,9.014940279173036,29.064532738766868,3.2240405192604373,-927.0260738994666,927.0260738994666,0.8540145985401459,0.6892871409654617,env_fast_forward_log_info,14,63.61538461538461,True,7,0,0,0,0,0
C00_PAIR_SUFF_J01,c00_joint_pair_sufficiency,9201,6,20264406,1,1000,9.021450152129647,30.68655876591802,3.4015106494463088,-707.2376724930944,707.2376724930944,0.7800429184549357,0.8519339644246631,env_fast_forward_log_info,11,81.4,True,6,0,0,0,0,0
C00_PAIR_SUFF_J01,c00_joint_pair_sufficiency,9201,7,20264407,1,1000,8.997475303089772,27.422966202907265,3.047851233722209,-919.759715537615,919.759715537615,0.8788198103266597,0.6179812302192053,env_fast_forward_log_info,13,66.91666666666667,True,4,0,0,0,0,0
C00_PAIR_SUFF_J01,c00_joint_pair_sufficiency,9201,8,20264408,1,1000,9.012539405190106,23.623097522533502,2.621136669752537,-777.4347031205871,777.4347031205871,0.8668796592119276,0.8130008462402556,env_fast_forward_log_info,11,87.5,True,6,0,0,0,0,0
C00_PAIR_SUFF_J01,c00_joint_pair_sufficiency,9201,9,20264409,1,1000,8.991743608102215,28.91036984967068,3.215212878581228,-904.8756078156813,904.8756078156813,0.8297872340425532,0.7200110269251228,env_fast_forward_log_info,12,70.54545454545455,True,8,0,0,0,0,0
C00_PAIR_SUFF_J01,c00_joint_pair_sufficiency,9201,10,20264410,0,1000,9.02476209882068,21.436241112498102,2.37526938414247,-363.86164881265256,363.86164881265256,0.668859649122807,0.8651909422543314,env_fast_forward_log_info,5,92.5,True,4,0,0,1,0,0
