configuration_id,paper_label,independent_run_count,nested_rollout_count,runs_discovered_lenient_rolling,lenient_episode_successes_nested,runs_meeting_secondary_strict_threshold,secondary_strict_episode_successes_nested,run_mean_scaled_progress_x100_mean,run_mean_scaled_progress_x100_sd,run_mean_scaled_progress_x100_median,run_mean_scaled_progress_x100_min,run_mean_scaled_progress_x100_max,run_mean_forward_body_lengths_mean,run_mean_forward_body_lengths_sd,run_mean_forward_body_lengths_median,run_mean_forward_body_lengths_min,run_mean_forward_body_lengths_max,run_mean_rotation_span_degrees_mean,run_mean_rotation_span_degrees_sd,run_mean_rotation_span_degrees_median,run_mean_rotation_span_degrees_min,run_mean_rotation_span_degrees_max,run_mean_desired_rotation_degrees_mean,run_mean_desired_rotation_degrees_sd,run_mean_desired_rotation_degrees_median,run_mean_desired_rotation_degrees_min,run_mean_desired_rotation_degrees_max,run_mean_desired_active_rotation_fraction_mean,run_mean_desired_active_rotation_fraction_sd,run_mean_desired_active_rotation_fraction_median,run_mean_desired_active_rotation_fraction_min,run_mean_desired_active_rotation_fraction_max,run_lenient_success_rate_mean,run_lenient_success_rate_sd,run_lenient_success_rate_median,run_lenient_success_rate_min,run_lenient_success_rate_max,run_secondary_strict_success_rate_mean,run_secondary_strict_success_rate_sd,run_secondary_strict_success_rate_median,run_secondary_strict_success_rate_min,run_secondary_strict_success_rate_max
HPR_DTH_PS,HPR-DTH-PS,5,100,0,0,0,0,0.5275480002838653,1.1710491115778183,0.005108381082594859,3.4210347104817456e-05,2.622380647824437,0.5860810942926087,1.30098618665888,0.005671791434716597,3.825300627970469e-05,2.913351844152614,8.518538281006268,7.109681827431784,5.5164499055667084,4.8181260876400795,21.225215600691136,1.6459308283609608,3.663279924996914,0.049631550950680135,-0.11697481477083235,8.197734303723596,0.4814347568524228,0.016581167400596595,0.478624335512972,0.4628413781566483,0.50845939956655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPR_THDOT_PS,HPR-THDOT-PS,5,100,0,0,0,0,1.1514397349829435,1.5748269534918862,0.005108381082594859,-0.0001564345835940911,2.928002803013951,1.2791721840010735,1.749528028136992,0.005671791434716597,-0.00017363079254644945,3.252802592595021,14.026578788210887,14.619839991706819,5.5164499055667084,0.5794238333180756,33.56314453129486,6.481638024067776,9.16502848239697,0.049631550950680135,-0.11697481477083235,19.329194062453602,0.49343963463125123,0.02287186848116929,0.4956893060567813,0.4628413781566483,0.5152681677739848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPR_OBS_PS,HPR-OBS-PS,5,100,0,0,0,0,1.000760872419947,1.3755802971174487,3.4210347104817456e-05,3.4210347104817456e-05,2.6721164285403796,1.1117703084109405,1.5281668208504904,3.825300627970469e-05,3.825300627970469e-05,2.968529839474619,11.990114706699547,10.288082802054234,4.8181260876400795,4.8181260876400795,27.083875266135806,3.7100332093256663,5.5164226980817235,-0.11697481477083235,-0.11697481477083235,11.887628482857124,0.4831106967300764,0.027812442388759538,0.4628413781566483,0.4628413781566483,0.5160433343912684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPR_O2_PS,HPR-O2-PS,5,100,0,0,0,0,2.8349749227267806,0.09216941302210233,2.8635294248324934,2.6728400098544665,2.8996856443149155,3.149489660733485,0.10235838741283372,3.181152825615823,2.9694290683323983,3.2213396371217478,36.68890735532617,2.033141668517328,37.4489943525097,33.74572286789057,38.54059563979299,20.57954488867606,3.0228976669430456,21.823465819463912,15.629790127569226,23.11647755940649,0.5226603808243457,0.0057023338166718365,0.5217696144870173,0.516210902700865,0.5310561458800015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPR_O2_JS,HPR-O2-JS,5,100,2,48,2,47,2.061817474125058,0.5363415773020743,1.7536170753699842,1.5867776597005432,2.816294327901036,2.290469049574008,0.595804263992217,1.948102924626827,1.7627158604359394,3.1285480230589835,350.86905654500504,348.28540219518044,311.0061638667929,21.07753416297098,817.7495268591687,339.98841978007465,355.1193926005621,287.58926837895876,7.224263243713695,815.9421732845328,0.6926836881934145,0.16898365716836616,0.711470438964784,0.5123880689603536,0.8623090622348867,0.48,0.5019960159204453,0.4,0.0,1.0,0.47000000000000003,0.5044799302251776,0.35,0.0,1.0
SGRR_O2_JS,SGRR-O2-JS,5,100,5,99,5,99,2.9521102089625897,0.4823947890930226,2.960034936116368,2.4262556211215562,3.5277879211169783,3.279525347558645,0.5358812294431012,3.288197531497564,2.6952498982172672,3.9190276938216115,931.1651304981024,179.89825323032778,849.3929520378075,759.6840182013509,1125.7468587111457,930.5040715924915,180.27173319905054,849.1453031101212,759.1584582381911,1125.4987336592508,0.919955864131951,0.026204171179741987,0.9146653099093462,0.8910906944639223,0.954544441014782,0.99,0.022360679774997918,1.0,0.95,1.0,0.99,0.022360679774997918,1.0,0.95,1.0
