configuration_id,paper_label,formal_run,internal_training_seed,checkpoint_batch,reset_seed,success_lenient_rotation_span,success_secondary_strict_common_kinematic,scaled_signed_horizontal_progress_x100,forward_displacement,forward_body_lengths,best_fit_rotation_range_degrees,max_rotation_excursion_degrees,net_best_fit_rotation_degrees,desired_net_rotation_degrees,desired_active_rotation_fraction,torque_saturation_fraction_pre_step,mean_abs_active_torque_pre_step,mean_abs_k1,mean_abs_k2
HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264101,False,False,-0.0062895925343036665,-0.06289592534303667,-0.006984520027769197,1.1942614868822305,1.1942614868822305,0.03935570752217196,-0.03935570752217196,0.0,0.0,8.999992370605469,,
HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264102,False,False,0.031877698628231886,0.3187769862823188,0.03544869397783703,5.693080590596032,5.693080590596032,-0.2519478475432634,0.2519478475432634,0.5402298850574713,0.0,8.999992370605469,,
HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264103,False,False,0.016719805747270586,0.16719805747270589,0.018552739173525155,4.622097909178466,4.622097909178466,-0.06788040508458838,0.06788040508458838,0.4857142857142857,0.0,8.999992370605469,,
HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264104,False,False,0.021630806205794217,0.21630806205794217,0.02400993425843837,4.8108075248777755,4.8108075248777755,-0.11738643036765296,0.11738643036765296,0.5,0.0,8.999992370605469,,
HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264105,False,False,-0.026766880266368396,-0.267668802663684,-0.029717359772590796,5.178553634932716,5.178553634932716,0.2423593130678083,-0.2423593130678083,0.5342465753424658,0.0,8.999992370605469,,
HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264106,False,False,0.03284077323973179,0.3284077323973179,0.03656645758117149,5.679245989142145,5.679245989142145,-0.31262594523448706,0.31262594523448706,0.5476190476190477,0.0,8.999992370605469,,
HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264107,False,False,0.02668918162584305,0.2668918162584305,0.029632486471643082,5.085656033124379,5.085656033124379,-0.42903539074986274,0.42903539074986274,0.5211267605633803,0.0,8.999992370605469,,
HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264108,False,False,0.12963654207531364,1.2963654207531363,0.14380714340719525,23.352208667278525,23.352208667278525,3.7112895785683224,-3.7112895785683224,0.5,0.0,8.999992370605469,,
HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264109,False,False,-0.019335270654410125,-0.19335270654410125,-0.021480000166089232,4.619168234176493,4.619168234176493,0.18983565630816387,-0.18983565630816387,0.5205479452054794,0.0,8.999992370605469,,
HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264110,False,False,-0.007174998822156341,-0.07174998822156342,-0.007962835923937858,1.7732275210145907,1.7732275210145907,0.2038404928146015,-0.2038404928146015,0.7142857142857143,0.0,8.999992370605469,,
HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264111,False,False,-0.011130269737914212,-0.11130269737914211,-0.012382614663119277,3.3946685007473016,3.3946685007473016,0.20852333327381273,-0.20852333327381273,0.32,0.0,8.999992370605469,,
HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264112,False,False,-0.0026706087752245366,-0.026706087752245367,-0.002968739339738447,0.550248964250983,0.550248964250983,-0.07172816729772363,0.07172816729772363,1.0,0.0,8.999992370605469,,
HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264113,False,False,0.00680758086964488,0.0680758086964488,0.007554063332147278,1.5528474461646724,1.5528474461646724,-0.056078366241592965,0.056078366241592965,0.0,0.0,8.999992370605469,,
HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264114,False,False,0.004844000082230193,0.04844000082230193,0.0053975548838128455,0.9810775385563516,0.9810775385563516,-0.14148428669843618,0.14148428669843618,1.0,0.0,8.999992370605469,,
HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264115,False,False,0.032977074380032716,0.32977074380032717,0.03660305562557025,5.776492319457891,5.776492319457891,-0.48689902030099164,0.48689902030099164,0.5617977528089888,0.0,8.999992370605469,,
HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264116,False,False,-0.1324533011694439,-1.324533011694439,-0.14711667135617398,23.35830861059845,23.35830861059845,-3.659353930115552,3.659353930115552,0.5196850393700787,0.0,8.999992370605469,,
HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264117,False,False,0.031254086345434196,0.31254086345434196,0.034750028971978555,5.384536087881706,5.384536087881706,-0.3704285553663668,0.3704285553663668,0.5540540540540541,0.0,8.999992370605469,,
HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264118,False,False,-0.019521408919245007,-0.1952140891924501,-0.021644649574049737,4.542670271995719,4.542670271995719,0.2976798976141587,-0.2976798976141587,0.45588235294117646,0.0,8.999992370605469,,
HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264119,False,False,-0.008583797644823787,-0.08583797644823787,-0.00953653313968586,2.642501538106812,2.642501538106812,0.08072247547910223,-0.08072247547910223,0.2972972972972973,0.0,8.999992370605469,,
HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264120,False,False,0.0008162009762600064,0.008162009762600064,0.0009075949741670084,0.13733924237092748,0.13733924237092748,-0.0013891286612266712,0.0013891286612266712,0.0,0.0,8.999992370605469,,
HPR_DTH_PS,HPR-DTH-PS,1,9202,1500,20264101,False,False,0.0036423375084996216,0.03642337508499621,0.004044773828711477,5.05483254446482,5.05483254446482,1.1593244640788913,-1.1593244640788913,0.34782608695652173,0.0,8.999992370605469,,
