configuration_id,paper_label,formal_run,training_seed,episode_count,formal_rolling_count,crawling_candidate_count,partial_roll_count,rocking_count,sliding_candidate_count,failed_other_count,technical_exclusion_count,crawling_candidate_rate,formal_rolling_rate,any_crawling_candidate_observed,stable_crawling_candidate_10_of_20,productive_locomotion_rate,periodic_crawling_candidate_count,irregular_crawling_candidate_count,crawl_forward_body_lengths_mean,crawl_rotation_span_degrees_mean
HPR_DTH_PS,HPR-DTH-PS,0,9201,20,0,0,0,0,0,20,0,0.0,0.0,False,False,0.0,0,0,nan,nan
HPR_DTH_PS,HPR-DTH-PS,1,9202,20,0,0,0,0,0,20,0,0.0,0.0,False,False,0.0,0,0,nan,nan
HPR_DTH_PS,HPR-DTH-PS,2,9203,20,0,0,0,0,0,20,0,0.0,0.0,False,False,0.0,0,0,nan,nan
HPR_DTH_PS,HPR-DTH-PS,3,9204,20,0,20,0,0,0,0,0,1.0,0.0,True,True,1.0,20,0,2.9133518441526136,21.225215600691143
HPR_DTH_PS,HPR-DTH-PS,4,9205,20,0,0,0,0,0,20,0,0.0,0.0,False,False,0.0,0,0,nan,nan
HPR_THDOT_PS,HPR-THDOT-PS,0,9201,20,0,0,0,0,0,20,0,0.0,0.0,False,False,0.0,0,0,nan,nan
HPR_THDOT_PS,HPR-THDOT-PS,1,9202,20,0,20,0,0,0,0,0,1.0,0.0,True,True,1.0,20,0,3.252802592595021,33.56314453129487
HPR_THDOT_PS,HPR-THDOT-PS,2,9203,20,0,0,0,0,0,20,0,0.0,0.0,False,False,0.0,0,0,nan,nan
HPR_THDOT_PS,HPR-THDOT-PS,3,9204,20,0,0,0,0,0,20,0,0.0,0.0,False,False,0.0,0,0,nan,nan
HPR_THDOT_PS,HPR-THDOT-PS,4,9205,20,0,20,0,0,0,0,0,1.0,0.0,True,True,1.0,20,0,3.1375219137618973,25.655749583234723
HPR_OBS_PS,HPR-OBS-PS,0,9201,20,0,0,0,0,0,20,0,0.0,0.0,False,False,0.0,0,0,nan,nan
HPR_OBS_PS,HPR-OBS-PS,1,9202,20,0,20,0,0,0,0,0,1.0,0.0,True,True,1.0,20,0,2.590206943561244,18.412320004441693
HPR_OBS_PS,HPR-OBS-PS,2,9203,20,0,0,0,0,0,20,0,0.0,0.0,False,False,0.0,0,0,nan,nan
HPR_OBS_PS,HPR-OBS-PS,3,9204,20,0,20,0,0,0,0,0,1.0,0.0,True,True,1.0,20,0,2.968529839474619,27.083875266135806
HPR_OBS_PS,HPR-OBS-PS,4,9205,20,0,0,0,0,0,20,0,0.0,0.0,False,False,0.0,0,0,nan,nan
HPR_O2_PS,HPR-O2-PS,0,9201,20,0,20,0,0,0,0,0,1.0,0.0,True,True,1.0,1,19,3.1811528256158232,35.47422660024709
HPR_O2_PS,HPR-O2-PS,1,9202,20,0,20,0,0,0,0,0,1.0,0.0,True,True,1.0,1,19,2.9694290683323983,33.74572286789058
HPR_O2_PS,HPR-O2-PS,2,9203,20,0,20,0,0,0,0,0,1.0,0.0,True,True,1.0,5,15,3.201770700540682,37.4489943525097
HPR_O2_PS,HPR-O2-PS,3,9204,20,0,20,0,0,0,0,0,1.0,0.0,True,True,1.0,18,2,3.2213396371217486,38.54059563979298
HPR_O2_PS,HPR-O2-PS,4,9205,20,0,20,0,0,0,0,0,1.0,0.0,True,True,1.0,0,20,3.173756072056772,38.234997316190515
HPR_O2_JS,HPR-O2-JS,0,9201,20,20,0,0,0,0,0,0,0.0,1.0,False,False,1.0,0,0,nan,nan
HPR_O2_JS,HPR-O2-JS,1,9202,20,0,20,0,0,0,0,0,1.0,0.0,True,True,1.0,19,1,1.9056755260599503,21.077534162970977
HPR_O2_JS,HPR-O2-JS,2,9203,20,7,2,8,0,0,3,0,0.1,0.35,True,False,0.45,1,1,1.3290748023968626,66.96586916850164
HPR_O2_JS,HPR-O2-JS,3,9204,20,0,20,0,0,0,0,0,1.0,0.0,True,True,1.0,0,20,1.948102924626827,26.43402054089871
HPR_O2_JS,HPR-O2-JS,4,9205,20,20,0,0,0,0,0,0,0.0,1.0,False,False,1.0,0,0,nan,nan
SGRR_O2_JS,SGRR-O2-JS,0,9201,20,19,0,1,0,0,0,0,0.0,0.95,False,False,0.95,0,0,nan,nan
SGRR_O2_JS,SGRR-O2-JS,1,9202,20,20,0,0,0,0,0,0,0.0,1.0,False,False,1.0,0,0,nan,nan
SGRR_O2_JS,SGRR-O2-JS,2,9203,20,20,0,0,0,0,0,0,0.0,1.0,False,False,1.0,0,0,nan,nan
SGRR_O2_JS,SGRR-O2-JS,3,9204,20,20,0,0,0,0,0,0,0.0,1.0,False,False,1.0,0,0,nan,nan
SGRR_O2_JS,SGRR-O2-JS,4,9205,20,20,0,0,0,0,0,0,0.0,1.0,False,False,1.0,0,0,nan,nan
