episode_id,configuration_id,paper_label,formal_run,training_seed,checkpoint_batch,reset_seed,npz_relative_path,npz_episode_index,formal_rolling,lenient_full_rotation_span,forward_body_lengths,rotation_span_degrees,net_rotation_degrees,desired_net_rotation_degrees,desired_active_rotation_fraction,technical_exclusion,technical_reason,initial_body_length,forward_body_lengths_recomputed,rotation_span_degrees_recomputed,rotation_reversal_index,shape_rms_radians,shape_velocity_rms_radians,shape_pc1_variance_fraction,shape_period_steps,shape_repeatability,shape_cycle_count,shape_spectral_top3_fraction,periodic_crawling_descriptor,positive_cycle_fraction,median_cycle_progress_body_lengths,post_transient_progress_body_lengths,positive_progress_window_count,shape_window_pass_count,support_window_pass_count,valid_support_window_count,window_progress_body_lengths,window_shape_amplitude_degrees,window_support_span_indices,window_valid_contact_samples,support_span_indices,support_alternation_count,support_repeatability,contact_valid_fraction,mean_contact_strength,automated_gait_label,kinematic_crawling_screen,automated_crawling_candidate,gate_not_formal_rolling,gate_rotation_below_crawling_limit,gate_forward_progress,gate_post_transient_progress,gate_sustained_window_progress,gate_repeated_internal_deformation,gate_repeated_support_migration,gate_support_windows_observable
HPR_DTH_PS__run0__reset20264111,HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264111,tasks\HPR_DTH_PS\run0\checkpoint_1500.npz,10,False,False,-0.012382614663119277,3.3946685007473016,0.20852333327381273,-0.20852333327381273,0.32,False,,8.988626425616648,-0.012382614663119277,3.394668608903885,0.5845502478401445,0.11330729944179364,0.0023409116769569516,0.9196148772039618,20.0,0.9507133547798294,45.05,0.6378989704477466,True,0.28888888888888886,0.0,-0.009310089863790436,0,0,0,4,-0.00929326614;-1.6823893e-05;1.65777946e-10;0,9.98305359;0.0167443761;4.2564702e-07;4.74445451e-09,0.688618183;0.0066190958;0;0,226;226;226;226,0.05067253112792969,2.0,0.7692661608314133,1.0,0.8238804340362549,failed_other,False,False,True,True,False,False,False,False,False,True
HPR_DTH_PS__run0__reset20264112,HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264112,tasks\HPR_DTH_PS\run0\checkpoint_1500.npz,11,False,False,-0.002968739339738447,0.550248964250983,-0.07172816729772363,0.07172816729772363,1.0,False,,8.995767124033947,-0.002968739339738447,0.5502489669597708,1.5161871758095913e-11,0.10488011385016686,0.002014085730669419,0.9864272400648678,20.0,0.9670099787807983,45.05,0.588262621095384,True,0.35555555555555557,0.0,-0.0022722064325484148,0,0,0,4,-0.00226544353;-6.76288553e-06;6.21173768e-11;-8.28231773e-11,9.68200343;0.00278388981;4.43585558e-09;4.43068553e-09,0.0953059196;0.00109922886;0;0,226;226;226;226,0.008955955505371094,4.0,0.6842973813565433,1.0,0.8238334655761719,failed_other,False,False,True,True,False,False,False,False,False,True
HPR_DTH_PS__run0__reset20264113,HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264113,tasks\HPR_DTH_PS\run0\checkpoint_1500.npz,12,False,False,0.007554063332147278,1.5528474461646724,-0.056078366241592965,0.056078366241592965,0.0,False,,9.01181333849076,0.007554063332147278,1.5528474897146225,9.462763905787597e-12,0.09486804172920958,0.0019295507936513013,0.9702384495847305,20.0,0.9566236359699531,45.05,0.5232739856736623,True,0.3111111111111111,0.0,0.0030416739029952393,0,0,0,4,0.00304267081;-9.96903703e-07;0;0,9.07514908;0.00464149754;5.07632585e-09;5.10916124e-09,0.249951005;0.00221681595;0;0,226;226;226;226,0.045613765716552734,2.0,0.7653697903236918,1.0,0.8238089680671692,failed_other,False,False,True,True,False,False,False,False,False,True
HPR_DTH_PS__run0__reset20264114,HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264114,tasks\HPR_DTH_PS\run0\checkpoint_1500.npz,13,False,False,0.0053975548838128455,0.9810775385563516,-0.14148428669843618,0.14148428669843618,1.0,False,,8.97443414009045,0.005397554883812851,0.9810775220394135,1.517586056820619e-11,0.12146584633957445,0.0022387845233791982,0.9755559291191566,20.0,0.9694967360362373,45.05,0.7036696969942248,True,0.3111111111111111,0.0,0.005058264908589314,0,0,0,4,0.0050635471;-5.28385322e-06;1.6604012e-09;0,10.2319018;0.0123136544;9.17538456e-07;2.26370797e-09,0.167157292;0.00545465946;0;0,226;226;226;226,0.015027999877929688,4.0,0.6968315668634774,1.0,0.8238967061042786,failed_other,False,False,True,True,False,False,False,False,False,True
HPR_DTH_PS__run0__reset20264115,HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264115,tasks\HPR_DTH_PS\run0\checkpoint_1500.npz,14,False,False,0.03660305562557025,5.776492319457891,-0.48689902030099164,0.48689902030099164,0.5617977528089888,False,,9.00937744579868,0.036603055625570265,5.776492357254028,0.9151651099402036,0.17939459153694082,0.002825361539953766,0.9601032068778274,20.0,0.9684539373460975,45.05,0.8936880031861544,True,0.26666666666666666,0.0,0.01708930190396209,0,0,0,4,0.0255684649;-0.00847903897;-1.24047094e-07;0,5.19988133;3.83402327;0.000610944885;7.30200241e-14,1.01764601;0.592904925;0.000237584114;0,226;226;226;226,0.7428634166717529,2.0,0.880670333361881,1.0,0.824282169342041,failed_other,False,False,True,True,False,False,False,False,False,True
HPR_DTH_PS__run0__reset20264116,HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264116,tasks\HPR_DTH_PS\run0\checkpoint_1500.npz,15,False,False,-0.14711667135617398,23.35830861059845,-3.659353930115552,3.659353930115552,0.5196850393700787,False,,9.0032829011452,-0.14711667135617398,23.358308792114258,0.7124902731421341,0.29677361537686187,0.005039430130059229,0.611029884384632,20.0,0.9627969182859036,45.05,0.8746934302643742,True,0.3111111111111111,-0.002874710770765903,-0.14007505413125745,1,0,1,4,-0.131239363;-0.0494656759;-0.0266619869;0.0672919714,11.3708815;4.1101914;6.31621932;9.6917041,2.05763018;1.3669495;0.017993331;0.996633768,226;226;226;226,1.6441881656646729,2.0,0.8225357681271958,1.0,0.825369656085968,failed_other,False,False,True,True,False,False,False,False,False,True
HPR_DTH_PS__run0__reset20264117,HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264117,tasks\HPR_DTH_PS\run0\checkpoint_1500.npz,16,False,False,0.034750028971978555,5.384536087881706,-0.3704285553663668,0.3704285553663668,0.5540540540540541,False,,8.9939741836292,0.03475002897197855,5.384536266326904,0.8788491705354082,0.16703497406504042,0.0028932264029919957,0.8755617940749516,20.0,0.9646057715598667,45.05,0.8640096800031518,True,0.3111111111111111,0.0,0.03141841757382067,0,0,0,4,0.0363549499;-0.00493459715;-1.93513523e-06;0,7.58043194;2.42519579;0.000422252094;4.23287667e-14,0.924104273;0.29324317;0.000130057335;0,226;226;226;226,0.7021148204803467,2.0,0.8612922444072093,1.0,0.8241882920265198,failed_other,False,False,True,True,False,False,False,False,False,True
HPR_DTH_PS__run0__reset20264118,HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264118,tasks\HPR_DTH_PS\run0\checkpoint_1500.npz,17,False,False,-0.021644649574049737,4.542670271995719,0.2976798976141587,-0.2976798976141587,0.45588235294117646,False,,9.019045955195168,-0.021644649574049726,4.54267019033432,0.9552043720793884,0.13211157225843834,0.0026290608793921454,0.8842343371019628,20.0,0.956533593595375,45.05,0.7511792045603856,True,0.26666666666666666,0.0,-0.01842753200965386,0,0,0,4,-0.0184531639;2.56332041e-05;-1.32175055e-09;0,10.0061515;0.0552548796;4.63060556e-06;7.92845613e-14,0.811606288;0.0242528915;4.76837158e-07;0,226;226;226;226,0.33080148696899414,2.0,0.8399703752897395,1.0,0.8239775896072388,failed_other,False,False,True,True,False,False,False,False,False,True
HPR_DTH_PS__run0__reset20264119,HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264119,tasks\HPR_DTH_PS\run0\checkpoint_1500.npz,18,False,False,-0.00953653313968586,2.642501538106812,0.08072247547910223,-0.08072247547910223,0.2972972972972973,False,,9.000962424282566,-0.00953653313968586,2.6425014436244965,0.5398563264324359,0.10629262779472401,0.002185135414799334,0.9411482218409679,20.0,0.9524551536486168,45.05,0.5928084290084438,True,0.26666666666666666,0.0,-0.006205315293633731,0,0,0,4,-0.00619382864;-1.14866563e-05;8.27753723e-11;-8.27753723e-11,9.7297733;0.00899430544;5.9825794e-09;5.9825794e-09,0.540890813;0.0037446022;0;0,226;226;226;226,0.03757905960083008,4.0,0.7324126648276773,1.0,0.8238525390625,failed_other,False,False,True,True,False,False,False,False,False,True
HPR_DTH_PS__run0__reset20264120,HPR_DTH_PS,HPR-DTH-PS,0,9201,1500,20264120,tasks\HPR_DTH_PS\run0\checkpoint_1500.npz,19,False,False,0.0009075949741670084,0.13733924237092748,-0.0013891286612266712,0.0013891286612266712,0.0,False,,8.99300899070223,0.0009075949741670084,0.13733924366533756,0.0,0.10218043445941288,0.0018672310535987491,0.9903371429819839,20.0,0.9674008590294787,45.05,0.5700416270213864,True,0.4666666666666667,0.0,0.0005433967004390526,0,0,0,4,0.000541215753;2.18094755e-06;2.07121447e-11;-2.07121447e-11,9.5395391;0.000950879145;2.39707204e-09;2.33992305e-09,0.0244044065;0.000291824341;0;0,226;226;226;226,0.0024394989013671875,4.0,0.678740601195517,1.0,0.8238121867179871,failed_other,False,False,True,True,False,False,False,False,False,True
